job,output_level,num_output_files,total_output_size_bytes,num_input_records,num_output_records,num_subcompactions,input_summary,compaction_desc,compaction_reason,input_data_size_bytes,wall_us,cpu_us,write_io_us,read_io_us,file_write_nanos,file_fsync_nanos,file_range_sync_nanos,file_prepare_write_nanos,has_io_stats,pattern,wall_ms,cpu_ms,read_io_ms,write_io_ms,label,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
3,1,63,284800122,1863950,1855606,32,41@L0,41@L0 → 63@L1,LevelL0FilesNum,286983331,607263,1767574,284239.492,0.0,281112177,0,0,3127315,True,L0->L1,607.263,1767.574,0.0,284.23949200000004,"sst=8MB, input=32sst (256MB), value=128B, sub=32",8,256,32,128,32,5
3,1,36,284765629,1863950,1855606,4,41@L0,41@L0 → 36@L1,LevelL0FilesNum,286983331,268145,595018,63506.683,0.0,62747940,0,0,758743,True,L0->L1,268.145,595.018,0.0,63.506682999999995,"sst=8MB, input=32sst (256MB), value=128B, sub=4",8,256,32,128,4,1
3,1,36,284765629,1863950,1855606,4,41@L0,41@L0 → 36@L1,LevelL0FilesNum,286983331,268271,589021,67553.59,0.0,66813268,0,0,740322,True,L0->L1,268.271,589.021,0.0,67.55359,"sst=8MB, input=32sst (256MB), value=128B, sub=4",8,256,32,128,4,2
3,1,36,284765629,1863950,1855606,4,41@L0,41@L0 → 36@L1,LevelL0FilesNum,286983331,269054,594564,63892.869,0.0,63155817,0,0,737052,True,L0->L1,269.054,594.564,0.0,63.892869,"sst=8MB, input=32sst (256MB), value=128B, sub=4",8,256,32,128,4,3
3,1,36,284765629,1863950,1855606,4,41@L0,41@L0 → 36@L1,LevelL0FilesNum,286983331,267241,591613,64539.583,0.0,63665572,0,0,874011,True,L0->L1,267.241,591.613,0.0,64.539583,"sst=8MB, input=32sst (256MB), value=128B, sub=4",8,256,32,128,4,4
3,1,36,284765629,1863950,1855606,4,41@L0,41@L0 → 36@L1,LevelL0FilesNum,286983331,269079,601309,63645.101,0.0,62887407,0,0,757694,True,L0->L1,269.079,601.309,0.0,63.645101000000004,"sst=8MB, input=32sst (256MB), value=128B, sub=4",8,256,32,128,4,5
3,1,39,284769536,1863950,1855606,8,41@L0,41@L0 → 39@L1,LevelL0FilesNum,286983331,272576,860073,76232.189,0.0,75046418,0,0,1185771,True,L0->L1,272.576,860.073,0.0,76.232189,"sst=8MB, input=32sst (256MB), value=128B, sub=8",8,256,32,128,8,1
3,1,39,284769536,1863950,1855606,8,41@L0,41@L0 → 39@L1,LevelL0FilesNum,286983331,291102,952161,77432.774,0.0,76171960,0,0,1260814,True,L0->L1,291.102,952.161,0.0,77.43277400000001,"sst=8MB, input=32sst (256MB), value=128B, sub=8",8,256,32,128,8,2
3,1,39,284769536,1863950,1855606,8,41@L0,41@L0 → 39@L1,LevelL0FilesNum,286983331,277488,897668,82778.428,0.0,81411532,0,0,1366896,True,L0->L1,277.488,897.668,0.0,82.778428,"sst=8MB, input=32sst (256MB), value=128B, sub=8",8,256,32,128,8,3
3,1,39,284769536,1863950,1855606,8,41@L0,41@L0 → 39@L1,LevelL0FilesNum,286983331,307923,945005,89547.516,0.0,88227703,0,0,1319813,True,L0->L1,307.923,945.005,0.0,89.547516,"sst=8MB, input=32sst (256MB), value=128B, sub=8",8,256,32,128,8,4
3,1,39,284769536,1863950,1855606,8,41@L0,41@L0 → 39@L1,LevelL0FilesNum,286983331,282814,984649,86237.79,0.0,84955887,0,0,1281903,True,L0->L1,282.814,984.649,0.0,86.23778999999999,"sst=8MB, input=32sst (256MB), value=128B, sub=8",8,256,32,128,8,5
3,1,33,277348004,986843,984468,1,38@L0,38@L0 → 33@L1,LevelL0FilesNum,278410014,520977,319043,53450.861,148483.139,52854704,0,0,596157,True,L0->L1,520.977,319.043,148.483139,53.450860999999996,"sst=8MB, input=32sst (256MB), value=256B, sub=1",8,256,32,256,1,1
3,1,33,277348004,986843,984468,1,38@L0,38@L0 → 33@L1,LevelL0FilesNum,278410014,520246,319349,52484.403,148412.597,51893404,0,0,590999,True,L0->L1,520.246,319.349,148.412597,52.484403,"sst=8MB, input=32sst (256MB), value=256B, sub=1",8,256,32,256,1,2
3,1,33,277348004,986843,984468,1,38@L0,38@L0 → 33@L1,LevelL0FilesNum,278410014,512633,311738,52208.427,148686.573,51643041,0,0,565386,True,L0->L1,512.633,311.738,148.686573,52.208427,"sst=8MB, input=32sst (256MB), value=256B, sub=1",8,256,32,256,1,3
3,1,33,277348004,986843,984468,1,38@L0,38@L0 → 33@L1,LevelL0FilesNum,278410014,529658,330876,53503.165,145278.835,52892663,0,0,610502,True,L0->L1,529.658,330.876,145.278835,53.503165,"sst=8MB, input=32sst (256MB), value=256B, sub=1",8,256,32,256,1,4
3,1,33,277348004,986843,984468,1,38@L0,38@L0 → 33@L1,LevelL0FilesNum,278410014,527582,323844,53063.325,150674.675,52451529,0,0,611796,True,L0->L1,527.582,323.844,150.67467499999998,53.063325,"sst=8MB, input=32sst (256MB), value=256B, sub=1",8,256,32,256,1,5
