secs_elapsed,cpu_pct,sst_size_mb,input_data_mb,requested_input_sst_count,value_size,requested_subcompactions,repeat_index
1.709,89.5291,8,256,32,32,1,3
0.101,49.7475,8,256,32,32,1,4
0.201,89.4988,8,256,32,32,1,4
0.302,99.5032,8,256,32,32,1,4
0.402,89.5315,8,256,32,32,1,4
0.503,99.4923,8,256,32,32,1,4
0.603,99.4832,8,256,32,32,1,4
0.704,69.6214,8,256,32,32,1,4
0.805,79.5675,8,256,32,32,1,4
0.905,99.549,8,256,32,32,1,4
1.006,89.5056,8,256,32,32,1,4
1.106,99.5556,8,256,32,32,1,4
1.207,89.5192,8,256,32,32,1,4
1.307,99.5606,8,256,32,32,1,4
1.408,69.6172,8,256,32,32,1,4
1.508,89.5709,8,256,32,32,1,4
1.608,99.5307,8,256,32,32,1,4
1.709,89.5376,8,256,32,32,1,4
0.101,49.5807,8,256,32,32,1,5
0.202,89.4264,8,256,32,32,1,5
0.302,99.4636,8,256,32,32,1,5
0.403,89.562,8,256,32,32,1,5
0.503,99.4882,8,256,32,32,1,5
0.604,89.583,8,256,32,32,1,5
0.704,79.5614,8,256,32,32,1,5
0.805,79.6086,8,256,32,32,1,5
0.905,99.4632,8,256,32,32,1,5
1.006,89.5518,8,256,32,32,1,5
1.106,89.4891,8,256,32,32,1,5
1.207,99.5314,8,256,32,32,1,5
1.307,99.4826,8,256,32,32,1,5
1.408,69.6333,8,256,32,32,1,5
1.509,99.4924,8,256,32,32,1,5
1.609,89.5797,8,256,32,32,1,5
1.71,99.4488,8,256,32,32,1,5
0.102,216.8999,8,256,32,32,16,1
0.204,364.5751,8,256,32,32,16,1
0.309,494.0325,8,256,32,32,16,1
0.412,1530.8843,8,256,32,32,16,1
0.513,1222.5805,8,256,32,32,16,1
0.102,19.7382,8,256,32,32,16,2
0.203,305.4642,8,256,32,32,16,2
0.307,377.1683,8,256,32,32,16,2
0.408,1364.3866,8,256,32,32,16,2
0.51,1430.9265,8,256,32,32,16,2
0.102,9.8645,8,256,32,32,16,3
0.204,353.5639,8,256,32,32,16,3
0.308,449.5941,8,256,32,32,16,3
0.41,1524.875,8,256,32,32,16,3
0.511,1345.5808,8,256,32,32,16,3
0.102,19.7571,8,256,32,32,16,4
0.203,335.5255,8,256,32,32,16,4
0.307,451.8673,8,256,32,32,16,4
0.409,1473.7845,8,256,32,32,16,4
0.51,1251.9618,8,256,32,32,16,4
0.102,19.6907,8,256,32,32,16,5
0.203,286.883,8,256,32,32,16,5
0.304,414.1136,8,256,32,32,16,5
0.406,1424.2147,8,256,32,32,16,5
0.506,307.8505,8,256,32,32,16,5
0.101,49.7484,8,256,32,32,2,1
0.201,198.8772,8,256,32,32,2,1
0.302,178.9078,8,256,32,32,2,1
0.403,198.8385,8,256,32,32,2,1
0.503,178.9892,8,256,32,32,2,1
0.604,188.9405,8,256,32,32,2,1
0.704,169.0104,8,256,32,32,2,1
0.805,169.0546,8,256,32,32,2,1
0.905,99.447,8,256,32,32,2,1
0.101,49.7427,8,256,32,32,2,2
0.201,198.8132,8,256,32,32,2,2
0.302,188.8854,8,256,32,32,2,2
0.403,198.8347,8,256,32,32,2,2
0.503,178.9634,8,256,32,32,2,2
0.604,189.013,8,256,32,32,2,2
0.704,168.9846,8,256,32,32,2,2
0.805,169.0211,8,256,32,32,2,2
0.905,89.5006,8,256,32,32,2,2
0.101,49.704,8,256,32,32,2,3
0.202,178.5918,8,256,32,32,2,3
0.302,188.7286,8,256,32,32,2,3
0.403,198.7129,8,256,32,32,2,3
0.504,178.7455,8,256,32,32,2,3
0.604,198.8824,8,256,32,32,2,3
0.705,169.0198,8,256,32,32,2,3
0.805,178.9819,8,256,32,32,2,3
0.906,89.5153,8,256,32,32,2,3
0.101,39.8342,8,256,32,32,2,4
0.201,188.9893,8,256,32,32,2,4
0.302,178.9926,8,256,32,32,2,4
0.402,198.9754,8,256,32,32,2,4
0.503,189.0917,8,256,32,32,2,4
0.603,189.0397,8,256,32,32,2,4
0.704,169.1422,8,256,32,32,2,4
0.804,179.0242,8,256,32,32,2,4
0.905,89.6134,8,256,32,32,2,4
0.101,49.7873,8,256,32,32,2,5
0.201,188.9684,8,256,32,32,2,5
0.302,188.8935,8,256,32,32,2,5
0.402,189.0507,8,256,32,32,2,5
0.503,189.0296,8,256,32,32,2,5
0.603,188.9472,8,256,32,32,2,5
0.704,169.0551,8,256,32,32,2,5
0.805,168.9707,8,256,32,32,2,5
0.905,99.4991,8,256,32,32,2,5
0.103,9.7767,8,256,32,32,32,1
0.206,347.8283,8,256,32,32,32,1
0.308,439.8393,8,256,32,32,32,1
0.412,445.4519,8,256,32,32,32,1
0.517,398.9174,8,256,32,32,32,1
0.621,1535.6469,8,256,32,32,32,1
0.722,564.3198,8,256,32,32,32,1
0.825,475.0017,8,256,32,32,32,1
0.927,78.9922,8,256,32,32,32,1
0.103,77.6586,8,256,32,32,32,2
0.205,333.4737,8,256,32,32,32,2
0.308,391.6071,8,256,32,32,32,2
0.41,352.1269,8,256,32,32,32,2
0.518,501.0922,8,256,32,32,32,2
0.624,1480.1381,8,256,32,32,32,2
0.725,1098.6572,8,256,32,32,32,2
0.825,9.946,8,256,32,32,32,2
0.104,9.6339,8,256,32,32,32,3
0.209,361.1644,8,256,32,32,32,3
0.312,389.6915,8,256,32,32,32,3
0.416,345.3724,8,256,32,32,32,3
0.524,466.013,8,256,32,32,32,3
0.626,1558.7038,8,256,32,32,32,3
0.727,810.3271,8,256,32,32,32,3
0.828,217.7969,8,256,32,32,32,3
0.103,9.7774,8,256,32,32,32,4
0.205,419.1741,8,256,32,32,32,4
0.309,413.7872,8,256,32,32,32,4
0.412,338.7848,8,256,32,32,32,4
0.518,540.1988,8,256,32,32,32,4
0.62,1526.4093,8,256,32,32,32,4
0.721,218.112,8,256,32,32,32,4
0.822,506.7885,8,256,32,32,32,4
0.104,9.6612,8,256,32,32,32,5
0.209,458.2432,8,256,32,32,32,5
0.31,334.6354,8,256,32,32,32,5
0.412,450.9406,8,256,32,32,32,5
0.518,519.2765,8,256,32,32,32,5
0.621,1541.9006,8,256,32,32,32,5
0.722,287.2466,8,256,32,32,32,5
0.823,625.0153,8,256,32,32,32,5
0.101,39.7289,8,256,32,32,4,1
0.202,327.6618,8,256,32,32,4,1
0.302,377.4114,8,256,32,32,4,1
0.403,367.9375,8,256,32,32,4,1
0.504,387.8775,8,256,32,32,4,1
0.101,119.3718,8,256,32,32,4,2
0.202,337.3647,8,256,32,32,4,2
0.303,396.6401,8,256,32,32,4,2
0.403,357.2817,8,256,32,32,4,2
0.504,386.8901,8,256,32,32,4,2
0.101,29.7925,8,256,32,32,4,3
0.202,317.7786,8,256,32,32,4,3
0.302,387.3065,8,256,32,32,4,3
0.403,377.8955,8,256,32,32,4,3
0.504,377.8842,8,256,32,32,4,3
0.101,29.7829,8,256,32,32,4,4
0.202,337.5185,8,256,32,32,4,4
0.302,377.6274,8,256,32,32,4,4
0.403,386.6839,8,256,32,32,4,4
0.504,376.6195,8,256,32,32,4,4
0.102,29.5782,8,256,32,32,4,5
0.203,325.6686,8,256,32,32,4,5
0.304,367.5894,8,256,32,32,4,5
0.404,407.7239,8,256,32,32,4,5
0.505,367.875,8,256,32,32,4,5
0.101,29.6611,8,256,32,32,8,1
0.206,258.1486,8,256,32,32,8,1
0.308,795.5598,8,256,32,32,8,1
0.409,632.9054,8,256,32,32,8,1
0.101,168.7646,8,256,32,32,8,2
0.203,413.3811,8,256,32,32,8,2
0.304,750.6325,8,256,32,32,8,2
0.405,683.4602,8,256,32,32,8,2
0.101,19.8809,8,256,32,32,8,3
0.202,287.1897,8,256,32,32,8,3
0.303,792.7286,8,256,32,32,8,3
0.404,563.6313,8,256,32,32,8,3
0.101,29.6889,8,256,32,32,8,4
0.206,306.2861,8,256,32,32,8,4
0.308,806.0262,8,256,32,32,8,4
0.409,721.25,8,256,32,32,8,4
0.51,39.6633,8,256,32,32,8,4
0.101,29.7055,8,256,32,32,8,5
0.205,307.8657,8,256,32,32,8,5
0.307,777.4755,8,256,32,32,8,5
0.408,770.8151,8,256,32,32,8,5
0.509,0.0,8,256,32,32,8,5
0.101,59.7493,8,256,32,512,1,1
0.201,59.6796,8,256,32,512,1,1
0.302,59.5505,8,256,32,512,1,1
0.403,59.6603,8,256,32,512,1,1
0.101,59.7117,8,256,32,512,1,2
0.201,69.6099,8,256,32,512,1,2
0.302,59.6349,8,256,32,512,1,2
0.403,59.6657,8,256,32,512,1,2
0.101,59.7115,8,256,32,512,1,3
0.201,59.6948,8,256,32,512,1,3
0.302,69.5448,8,256,32,512,1,3
0.403,49.7351,8,256,32,512,1,3
0.101,49.7728,8,256,32,512,1,4
0.201,69.579,8,256,32,512,1,4
0.302,59.6353,8,256,32,512,1,4
0.403,59.6806,8,256,32,512,1,4
0.101,59.7234,8,256,32,512,1,5
0.201,59.6598,8,256,32,512,1,5
0.302,69.5111,8,256,32,512,1,5
0.403,59.676,8,256,32,512,1,5
0.102,187.3874,8,256,32,512,16,1
0.211,534.3614,8,256,32,512,16,1
0.314,330.2888,8,256,32,512,16,1
0.102,167.8464,8,256,32,512,16,2
0.21,442.0764,8,256,32,512,16,2
0.313,156.6605,8,256,32,512,16,2
0.102,187.3236,8,256,32,512,16,3
0.21,455.0108,8,256,32,512,16,3
0.311,730.2589,8,256,32,512,16,3
0.102,275.9466,8,256,32,512,16,4
0.207,474.9932,8,256,32,512,16,4
0.31,283.3977,8,256,32,512,16,4
0.102,275.0092,8,256,32,512,16,5
0.209,377.0489,8,256,32,512,16,5
0.311,763.3432,8,256,32,512,16,5
0.101,109.5529,8,256,32,512,2,1
0.201,109.3436,8,256,32,512,2,1
0.101,99.4911,8,256,32,512,2,2
0.202,119.2223,8,256,32,512,2,2
0.101,109.5321,8,256,32,512,2,3
0.202,119.0417,8,256,32,512,2,3
0.101,89.5594,8,256,32,512,2,4
0.201,129.2339,8,256,32,512,2,4
0.101,119.4342,8,256,32,512,2,5
0.201,99.383,8,256,32,512,2,5
0.103,325.6049,8,256,32,512,32,1
0.205,313.7665,8,256,32,512,32,1
0.307,332.2389,8,256,32,512,32,1
0.409,748.9926,8,256,32,512,32,1
0.512,48.51,8,256,32,512,32,1
0.613,9.901,8,256,32,512,32,1
0.104,204.1751,8,256,32,512,32,2
0.206,334.0634,8,256,32,512,32,2
0.311,313.712,8,256,32,512,32,2
0.412,830.121,8,256,32,512,32,2
0.515,77.5106,8,256,32,512,32,2
0.618,19.5388,8,256,32,512,32,2
0.103,304.2244,8,256,32,512,32,3
0.208,294.7644,8,256,32,512,32,3
0.31,380.5655,8,256,32,512,32,3
0.412,1008.7503,8,256,32,512,32,3
0.515,125.3759,8,256,32,512,32,3
0.617,19.6474,8,256,32,512,32,3
0.103,284.3695,8,256,32,512,32,4
0.205,284.4027,8,256,32,512,32,4
0.309,337.35,8,256,32,512,32,4
0.411,930.5194,8,256,32,512,32,4
0.514,87.1713,8,256,32,512,32,4
0.616,9.7866,8,256,32,512,32,4
0.102,285.9948,8,256,32,512,32,5
0.205,312.6682,8,256,32,512,32,5
0.306,265.1886,8,256,32,512,32,5
0.407,564.5383,8,256,32,512,32,5
0.509,19.7553,8,256,32,512,32,5
0.101,139.33,8,256,32,512,4,1
0.101,139.3086,8,256,32,512,4,2
0.101,139.3516,8,256,32,512,4,3
0.101,149.2653,8,256,32,512,4,4
0.101,159.2302,8,256,32,512,4,5
0.101,168.5048,8,256,32,512,8,1
0.202,356.5199,8,256,32,512,8,1
0.102,188.0457,8,256,32,512,8,2
0.203,423.6375,8,256,32,512,8,2
0.102,176.718,8,256,32,512,8,3
0.204,592.9049,8,256,32,512,8,3
0.101,168.6888,8,256,32,512,8,4
0.202,258.093,8,256,32,512,8,4
0.101,178.65,8,256,32,512,8,5
0.202,347.3548,8,256,32,512,8,5
0.101,49.7583,8,256,32,64,1,1
0.201,99.5163,8,256,32,64,1,1
0.302,89.4621,8,256,32,64,1,1
0.402,89.5659,8,256,32,64,1,1
0.503,69.6328,8,256,32,64,1,1
0.603,89.5948,8,256,32,64,1,1
0.704,89.6046,8,256,32,64,1,1
0.804,79.5899,8,256,32,64,1,1
0.905,79.5463,8,256,32,64,1,1
1.005,99.4928,8,256,32,64,1,1
1.106,89.5234,8,256,32,64,1,1
0.101,49.7461,8,256,32,64,1,2
0.201,99.5582,8,256,32,64,1,2
0.302,89.4769,8,256,32,64,1,2
0.402,89.5893,8,256,32,64,1,2
0.503,69.632,8,256,32,64,1,2
